\MEN\Denim\id_00000080\01_7_additional.jpg,chinos,tonal,life
\MEN\Denim\id_00000089\01_7_additional.jpg,chinos,tonal,life
\MEN\Denim\id_00000089\02_7_additional.jpg,chinos,tonal,life
\MEN\Denim\id_00000089\03_7_additional.jpg,chinos,tonal,life
\MEN\Denim\id_00007607\01_7_additional.jpg,jean,tonal,life
\MEN\Denim\id_00000089\04_7_additional.jpg,chinos,tonal,life
\MEN\Denim\id_00000089\15_4_full.jpg,chinos,tonal,life
\MEN\Denim\id_00000089\17_4_full.jpg,chinos,tonal,life
\MEN\Denim\id_00000089\45_7_additional.jpg,jean,tonal,life
\MEN\Denim\id_00000313\01_1_front.jpg,jean,tonal,life
\MEN\Denim\id_00000565\01_7_additional.jpg,jean,tonal,life
\MEN\Denim\id_00000867\01_1_front.jpg,jean,marled,life
\MEN\Denim\id_00001231\01_4_full.jpg,jean,animal,athletic
\MEN\Denim\id_00002707\01_1_front.jpg,chinos,tonal,elegant
\MEN\Denim\id_00002735\01_1_front.jpg,jean,tonal,life
\MEN\Denim\id_00002760\01_4_full.jpg,jean,tonal,life
\MEN\Denim\id_00002760\04_4_full.jpg,jean,tonal,life
\MEN\Denim\id_00003074\01_1_front.jpg,jean,tonal,life
\MEN\Denim\id_00003242\01_7_additional.jpg,jean,destroyed,retro
\MEN\Denim\id_00003879\01_7_additional.jpg,jean,abstract,elegant
\MEN\Denim\id_00004064\01_4_full.jpg,chinos,marled,retro
\MEN\Denim\id_00004998\01_4_full.jpg,jean,marled,elegant
\MEN\Denim\id_00006106\01_7_additional.jpg,jean,tonal,life
\MEN\Denim\id_00006117\01_4_full.jpg,chinos,tonal,life
\MEN\Denim\id_00007524\01_4_full.jpg,jean,marled,elegant
\MEN\Denim\id_00007570\01_1_front.jpg,jean,marled,life
\MEN\Pants\id_00000143\02_4_full.jpg,sweatpants,animal,elegant
\MEN\Pants\id_00000256\02_4_full.jpg,chinos,tonal,life
\MEN\Pants\id_00000785\01_7_additional.jpg,chinos,camo,retro
\MEN\Pants\id_00000844\01_1_front.jpg,sweatpants,camo,athletic
\MEN\Pants\id_00001092\03_1_front.jpg,sweatpants,tonal,athletic
\MEN\Pants\id_00001092\02_4_full.jpg,sweatpants,colorblock,athletic
\MEN\Pants\id_00001104\03_7_additional.jpg,sweatpants,marled,athletic
\MEN\Pants\id_00001105\01_7_additional.jpg,chinos,tonal,life
\MEN\Pants\id_00001105\02_7_additional.jpg,chinos,tonal,life
\MEN\Pants\id_00001105\04_7_additional.jpg,chinos,tonal,elegant
\MEN\Pants\id_00001351\01_7_additional.jpg,chinos,abstract,elegant
\MEN\Pants\id_00001375\03_7_additional.jpg,sweatpants,tonal,athletic
\MEN\Pants\id_00001560\01_1_front.jpg,sweatpants,colorblock,athletic
\MEN\Pants\id_00001591\01_7_additional.jpg,shorts,abstract,athletic
\MEN\Pants\id_00001611\01_7_additional.jpg,sweatpants,daisy,athletic
\MEN\Pants\id_00002006\08_7_additional.jpg,chinos,tonal,life
\MEN\Pants\id_00002047\01_7_additional.jpg,chinos,diamond,elegant
\MEN\Pants\id_00002236\01_4_additional.jpg,sweatpants,colorblock,athletic
\MEN\Pants\id_00002661\01_7_additional.jpg,sweatpants,stripe,athletic
\MEN\Pants\id_00002888\01_4_full.jpg,chinos,daisy,elegant
\MEN\Pants\id_00003063\01_7_additional.jpg,shorts,tonal,athletic
\MEN\Pants\id_00003301\01_7_additional.jpg,chinos,tonal,life
\MEN\Shirts_Polos\id_00000204\01_7_additional.jpg,chinos,tonal,youth
\MEN\Shirts_Polos\id_00000226\04_7_additional.jpg,jean,tonal,youth
\MEN\Shirts_Polos\id_00000240\01_4_full.jpg,shorts,tonal,youth
\MEN\Shirts_Polos\id_00000562\02_4_full.jpg,shorts,tonal,life
\MEN\Shirts_Polos\id_00000632\01_4_full.jpg,jean,tonal,life
