0.0,100.0,9.0,7.0,8.0,3.0,32.0,15.0,0.0,72.0,74.0,35.0,75.0,10.0,13.0,1.0,179.0,2.0,44.0
100.0,0.0,4.0,6.0,2.0,1.0,2.0,2.0,0.0,4.0,7.0,2.0,32.0,0.0,1.0,2.0,10.0,0.0,0.0
9.0,4.0,0.0,4.0,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,10.0,0.0,2.0,0.0,4.0,1.0,0.0
7.0,6.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,5.0,1.0,48.0,0.0,2.0,0.0,4.0,0.0,0.0
8.0,2.0,0.0,0.0,0.0,91.0,0.0,0.0,1.0,2.0,3.0,0.0,6.0,3.0,14.0,0.0,6.0,0.0,0.0
3.0,1.0,1.0,0.0,91.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
32.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,9.0,0.0,46.0,41.0,2.0,2.0,143.0,3.0,2.0
15.0,2.0,3.0,3.0,0.0,0.0,5.0,0.0,5.0,2.0,25.0,5.0,126.0,0.0,5.0,1.0,18.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,2.0,5.0,0.0,0.0,3.0,0.0,15.0,1.0,0.0,0.0,6.0,0.0,0.0
72.0,4.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,8.0,4.0,45.0,2.0,2.0,0.0,10.0,1.0,0.0
74.0,7.0,3.0,5.0,3.0,2.0,9.0,25.0,3.0,8.0,0.0,4.0,140.0,4.0,1.0,0.0,51.0,1.0,2.0
35.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,0.0
75.0,32.0,10.0,48.0,6.0,1.0,46.0,126.0,15.0,45.0,140.0,7.0,0.0,19.0,7.0,1.0,175.0,7.0,10.0
10.0,0.0,0.0,0.0,3.0,1.0,41.0,0.0,1.0,2.0,4.0,0.0,19.0,0.0,0.0,30.0,93.0,1.0,5.0
13.0,1.0,2.0,2.0,14.0,1.0,2.0,5.0,0.0,2.0,1.0,1.0,7.0,0.0,0.0,2.0,4.0,1.0,0.0
1.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,30.0,2.0,0.0,39.0,0.0,0.0
179.0,10.0,4.0,4.0,6.0,1.0,143.0,18.0,6.0,10.0,51.0,6.0,175.0,93.0,4.0,39.0,0.0,43.0,17.0
2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0,0.0,43.0,0.0,0.0
44.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,10.0,5.0,0.0,0.0,17.0,0.0,0.0
